source,Gasoline+Motor Oil+MeatCooking,Diesel,Wood burning,Shipping,Sea spray,Sb,Sn
OC1,4.2978,9.585,2.9919,0.75955,0,0.66054,0
OC2,6.712,14.218,3.1207,0.70788,0.50674,0.42526,0.32107
OC3,7.5608,14.982,3.0333,1.2097,1.3121,1.568,0.26986
OC4,4.2868,8.105,2.6999,0.64403,1.0493,1.2978,0.072327
PyC,7.9775,32.841,5.4535,0.84131,0.44659,0.077251,0.9583
EC1,4.4003,16.337,3.0226,0.31687,0.20319,0,0.44454
EC2,5.0252,29.689,1.82E-12,1.5412,0,0.78883,0.36036
EC3,16.747,0.085056,0.30916,0.97815,0,1.4708,0.073809
EC4,0.11203,0.13934,0.057146,0,0.004825,0,0.02648
Li,0,0,0.00018918,0.000085623,0.00012065,0.0003878,0
Na,0.041255,0,0.37013,0.068088,1.1853,0,0
Mg,0.0033636,0.019758,0.0048641,0.016125,0.048985,0.015114,0.007664
K,0,0,0.77472,0.027342,0.27654,0.23752,0
Ca,0,0.057112,0.069549,0.077907,0,0.21352,0
V,0.00014604,0.000071663,0,0.0048922,0,0.00080882,0.00015753
Cr,0.010599,0.030948,0.016393,0.0012164,0.0036127,0.035789,0
Mn,0.00035332,0.0013943,0,0.0030835,0.0030941,0.0018147,0.00029055
Zn,0.0069199,0.12826,0.021946,0.02803,0.074753,0.067516,0.022356
Ga,3.60E-06,0.000018895,0.000050006,0.0002982,0.00021169,0.00014026,0
As,0.00056247,0.00078563,0.0016713,0.0019164,0.0011558,0.0040101,0
Se,0.00071818,0,0.00014475,0.0016112,0.0026098,0.0014152,0.0061902
Br,0.0016066,0.0046673,0.0024537,0.00089169,0.061541,0.013614,0.0027793
Rb,0.000073047,0.00023058,0.0013723,0,0.00046746,0.00008775,0.000030572
Sr,0.000222,0.00054362,0.00062124,0.0013108,0,0.0001476,7.21E-06
Mo,0.00011535,0.0012202,0.0017235,0.00092795,0.0031492,0.0023533,0.00029924
Ag,0.00017753,0.00021096,0.00029467,0.00025937,0.00036236,0.000030382,0.000070702
Sn,0,0.0028969,0.000027271,0.0014016,0,0.0022874,0.059546
Sb,0.00081702,0.0013157,0,0,0,0.035086,0.00068051
Pb,0.0042459,0.018881,0.017739,0.0095161,0.030834,0.0069244,0.0073233
total,43.284,91.423,20.61,5.31,6.1218,4.9009,0.90946
