,Gasoline+Motor Oil+MeatCooking,Diesel,Wood burning,Shipping,Sea spray,Sb,Sn
OC1,52.39196514,23.49193404,16.35383626,4.151728443,0,3.610536114,0
OC2,54.66012344,25.80382252,11.99731659,2.72139599,1.948127089,1.634882831,1.23433154
OC3,50.04716767,25.25674979,10.13269748,4.040986432,4.383052243,5.23788272,0.901463668
OC4,44.64296288,23.61202385,14.87125669,3.547366734,5.77962504,7.148382137,0.398382674
PyC,67.58039966,16.41614562,11.22224383,1.731252582,0.918995484,0.158967554,1.97199528
EC1,66.07615928,17.79732654,12.22512083,1.281603268,0.821816417,0,1.79797367
EC2,79.37261176,13.43471483,4.86144E-12,4.120349936,0,2.108912302,0.963411175
EC3,0.432547336,85.16589347,1.57221518,4.974324876,0,7.479667768,0.375351372
EC4,41.00394031,32.96735634,16.81650045,0,1.419865164,0,7.792337731
Li,0,0,24.15311528,10.93171683,15.40370736,49.51146054,0
Na,0,2.478115635,22.2330612,4.089926975,71.19889619,0,0
Mg,17.05132398,2.902815738,4.197760147,13.91601373,42.27447643,13.04351203,6.614097936
K,0,0,58.86384393,2.077466983,21.01172992,18.04695917,0
Ca,13.66028205,0,16.63501464,18.63411531,0,51.07058801,0
V,1.179394604,2.403454892,0,80.51343484,0,13.31116397,2.592551693
Cr,31.40076767,10.75406283,16.63282876,1.23419587,3.665553618,36.31259125,0
Mn,13.90064474,3.522467043,0,30.74133116,30.84700916,18.09187406,2.896673835
Zn,36.66866887,1.978352735,6.274213372,8.013587935,21.37137848,19.302369,6.391429606
Ga,2.614684606,0.497931708,6.919815739,41.26482929,29.29360064,19.40913801,0
As,7.777205817,5.568072701,16.54473999,18.97106428,11.44163854,39.69727868,0
Se,0,5.659715682,1.140722166,12.69728189,20.56688572,11.15267709,48.78271745
Br,5.330792261,1.834990433,2.802512153,1.018450528,70.28952211,15.54933384,3.174398674
Rb,10.1949455,3.22972584,60.67535656,0,20.66844143,3.879809472,1.351721198
Sr,19.05786514,7.782727016,21.77901501,45.95314672,0,5.174461746,0.252784376
Mo,12.46534283,1.178394768,17.60696474,9.479769613,32.17165846,24.0408878,3.056981797
Ag,15.00454489,12.62683378,20.95842455,18.44770956,25.77288058,2.160921895,5.028684741
Sn,4.378682435,0,0.041220287,2.11852715,0,3.45741938,90.00415075
Sb,3.471574488,2.155769392,0,0,0,92.57707874,1.795577377
Pb208,19.77819841,4.447659163,18.58193219,9.968291612,32.29918807,7.253437694,7.671292858
total,52.98067051,25.08357134,11.94372991,3.077205522,3.547652875,2.840127409,0.527042436
