source,Gasoline+Motor Oil+MeatCcooking,Diesel,Wood burning,Shipping,Sea spray,Sb,Sn
OC1,21.68393841,52.89057854,8.820041946,2.991585887,8.894224778,0,4.719630439
OC2,28.14398243,47.03219327,8.457414491,1.856191413,10.67685616,0,3.833362233
OC3,29.20824821,37.71737633,12.21150056,5.243959086,7.942873192,4.272350008,3.403692611
OC4,31.48771822,37.58621769,16.02266443,4.114840399,7.776548788,0,3.012010477
PyC,11.35223988,68.49763393,15.4591382,0.355280428,0,0,4.335707561
EC1,14.4577291,67.75829441,12.29002934,0,1.008950095,0,4.484997063
EC2,3.085519034,75.20314181,0,5.769399733,0,8.660405413,7.281534011
EC3,85.19696038,0,0.382737121,0,11.6504204,1.434227708,1.335654384
EC4,60.09079896,0,20.66558462,9.83591106,3.633599568,0.161934047,5.61217175
Li,10.75490036,2.870299352,13.00744572,20.79707155,17.96747585,28.15750927,6.445297898
Na,0,0,31.29464949,38.48146376,24.11855934,6.105327416,0
Mg,0,0,26.77879167,18.83063955,45.52295183,0,8.867616946
K,0,0,58.77522641,2.050092276,35.1516602,4.023021114,0
Ca,0,51.21870747,22.09964119,0,0,0,26.68165134
V,1.589874105,1.028988939,0.479565317,72.91294659,16.24006395,0,7.748561098
Cr,5.772307312,0,36.75236411,6.502615133,7.24322613,0,43.72948731
Mn,17.37101794,8.603716192,13.32677026,21.71266712,9.572850103,16.8611026,12.55187578
Co,0,0,17.37423334,68.92818636,7.329589997,2.926961024,3.441029278
Zn,13.01460743,15.06010657,37.51078089,14.31979356,3.259413216,11.70205715,5.13324118
Ga,0,0,18.06260617,34.15026674,21.82771878,14.2716643,11.68774401
As,7.37635038,19.73265,23.31702323,18.75189031,0,23.3522601,7.469825979
Se,5.388241462,0,9.538080253,14.24714462,15.10905431,9.785722094,45.93175726
Br,11.80466523,2.948295987,0,0,74.38072868,3.274675176,7.591634934
Rb,2.171497599,19.5843466,57.28963383,0,20.35997046,0,0.594551507
Sr,5.186471904,6.25845506,21.31727859,32.50164495,13.21094881,18.46295565,3.062245032
Mo,14.22584124,3.108968948,6.714566746,27.06911461,18.55596937,25.85122839,4.474310697
Ag,9.282263424,32.01827118,27.13557912,24.76607259,6.797813684,0,0
Cd,0,5.403128641,20.45835203,74.13851933,0,0,0
Sn,1.42118269,0,0,0,2.65293318,6.922007712,89.00387642
Sb,0,0,3.575359766,5.315968762,13.47125345,75.19175955,2.445658471
Tl,0,14.57310515,11.82549722,59.74465998,0,13.85673764,0
Pb,0,18.14055047,12.91767704,8.690786143,15.1667103,36.84226201,8.242014035
U,0,0,19.40821118,67.23130016,6.349435927,7.011052734,0
