start day,start day of week,Wood ,Sea Spray,No EC3,Sn,Sb,EC3,Shipping
8/1/2015,6,15.7466583,0.90510813,0.945222397,0.000265726,0,20.45298852,0
8/7/2015,5,16.4243151,2.260107342,2.596778892,0.393323261,0,44.3487864,0
8/10/2015,1,16.1466984,0.571041504,0,0.884249769,0,53.066184,0
8/13/2015,4,14.7740724,2.498429016,69.47965154,1.484147774,0,103.7777184,0
8/16/2015,7,0,0,209.1118279,0,0,28.28219844,0.7106904
8/19/2015,3,0,24.6126969,8.370598457,0.065655736,1.220128064,52.4428944,4.238973
8/22/2015,6,5.6807343,0,16.01548114,0,0,57.2560752,0
8/25/2015,2,13.3579593,2.397480534,27.5823191,3.14491268,0,117.0659064,0.44148402
8/28/2015,5,16.6318578,0.440096202,4.989318802,1.933421014,0,74.7168408,0
8/31/2015,1,14.3202402,1.481536818,12.2598243,0,0.748612475,74.23206,0
9/3/2015,4,11.401452,1.055765628,103.0794325,0.786782941,0,7.5357444,0
9/6/2015,7,6.3936342,11.46184614,289.3263681,2.212352396,1.475857026,13.52322012,0
9/9/2015,3,9.7775901,3.456551934,245.8547316,12.12219234,1.341425339,4.84261392,15.744681
9/12/2015,6,16.4319408,0.134593895,139.5937787,6.540108752,0,7.5335802,0
9/15/2015,2,11.1576357,1.53412308,108.1899782,1.356641482,0,9.6371826,0
9/18/2015,5,0,0,309.2017283,0,0,11.13004776,0
9/21/2015,1,9.9991476,7.31738754,152.4569948,5.371907382,1.569023135,1.636438188,9.113553
9/24/2015,4,0,0,67.287328,0.532634344,0.205827998,136.5566916,0
9/27/2015,7,12.3820758,3.311648928,16.9589665,4.605232602,0,88.5201084,5.632317
9/30/2015,3,18.2023398,1.645111314,193.4419257,4.587589078,0,44.495952,0.45599625
10/3/2015,6,12.2534694,3.19711005,105.0358847,0.824552814,0,20.45991396,0
10/6/2015,2,6.1764048,1.64156067,189.4924521,0,0,29.60971872,4.239504
10/9/2015,5,14.2443954,2.097818424,56.79471029,0,0,105.764454,0
10/12/2015,1,7.3847691,7.85059632,272.3856862,0,0.136009777,64.6100268,18.193122
10/15/2015,4,13.3901109,1.788238998,22.04848491,1.17547705,0,80.226894,0
10/18/2015,7,14.5399428,1.746671976,105.7672687,0.145422654,0,23.64648204,0
10/21/2015,3,15.7252239,7.18576884,244.3096829,0,0.638734297,58.4507136,0.5611608
10/24/2015,6,14.6870982,4.029491196,221.3990791,0,0.903578933,17.21015124,0.7145136
10/27/2015,2,9.944325,0.754634286,187.1611656,0.075086837,0,28.27440732,0
11/17/2015,2,27.479313,1.637642718,285.879721,0,0,5.46157512,0
11/20/2015,5,32.322663,6.28463988,284.7369335,0.537972874,2.904028295,3.22011318,0
11/23/2015,1,25.890282,2.281349988,90.68430216,0,0,3.155793156,0.004139835
11/26/2015,4,222.13458,6.26321358,40.54792896,0.065294681,3.183379595,0,2.4072354
11/29/2015,7,22.085676,1.574894268,233.6131919,0.629255374,0,6.416853,0
12/2/2015,3,64.136259,4.555292598,252.3914761,2.426166442,4.94696846,2.137234068,0.29382354
12/5/2015,6,7.1615628,1.348510104,111.4080678,0,0.818205255,152.8314756,6.104907
12/11/2015,5,12.7897416,5.345616978,27.66551403,0.701248228,2.187908787,64.5624144,0.1947177
12/14/2015,1,45.323451,4.14262206,172.8351815,0.061682306,2.344002452,26.92654356,1.3020651
12/17/2015,4,34.54236,4.730069988,15.96976964,0,14.49833247,0,0
12/20/2015,7,38.701458,15.33755772,0,1.053882248,9.59890274,0,27.988479
12/23/2015,3,28.447983,5.587734168,109.1224928,0.612848716,4.99548737,0,0.597906
12/26/2015,6,149.676003,7.56409608,145.1431548,0,3.579176279,0,0
1/1/2016,5,74.661786,7.315551,11.29348319,1.10317498,1.875770466,0.372913302,0
1/4/2016,1,0,2.943422658,133.1575995,0,2.39752028,9.08920716,4.748202
1/7/2016,4,0,0,164.1865657,15.66908634,0,4.269836748,2.3993766
1/10/2016,7,0,0,53.49708268,0,0,90.8184888,0
1/13/2016,3,12.7944819,4.852689642,142.9398605,0.375597885,3.540312142,7.61452128,2.4303339
1/16/2016,6,73.47465,3.748010832,92.0812456,0,5.3370801,22.40942532,0.8818848
1/19/2016,2,22.388643,3.84724521,136.4396852,0.865051068,14.46941716,31.04198628,3.7715337
1/22/2016,5,0,0,162.3855326,0,0,7.67295468,0
1/26/2016,2,36.72702,2.821598838,331.1249637,0,8.92012809,47.7985212,1.5481836
1/31/2016,7,45.418257,5.356207692,124.5912644,1.145373924,3.801726148,0.284748122,0.6231816
2/3/2016,3,50.142069,14.58763722,125.6426289,0.135409499,8.2629174,6.10650672,4.0909833
2/6/2016,6,46.257084,8.80253622,221.1430947,1.296617122,3.690230673,1.253418072,0
2/9/2016,2,0,0,81.8418696,0,0,311.3288268,0
2/12/2016,5,67.306077,5.794834662,311.7341454,0,8.68782543,0,5.0763069
2/15/2016,1,13.9878009,13.5475434,17.77445966,1.844293934,9.67339642,193.652616,2.7345438
2/18/2016,4,30.034953,10.2142233,182.8551423,1.95897684,4.658109414,7.59028224,5.600457
2/21/2016,7,57.351447,10.10954052,213.0613015,0,16.57778434,0,1.0573803
2/24/2016,3,0,0,63.13123842,0,0,238.3087188,17.860185
2/27/2016,6,32.510214,2.924567514,73.9703493,0,10.43450619,139.1667168,0
3/1/2016,2,8.6609403,2.441128968,0,0.078781063,3.578735198,188.17719,0
3/7/2016,1,29.406348,2.364300378,114.6810112,0,11.19610605,0.045859398,0
3/10/2016,4,7.2172098,1.377833526,56.96292861,0,11.12308264,0,0
3/13/2016,7,30.912939,5.03181351,56.44547443,0,3.57079574,12.62897268,12.51036
3/22/2016,2,24.71139,9.50654322,0,0,14.33317214,94.68375,6.985836
3/25/2016,5,55.430595,7.80774372,56.18034773,0,7.98503637,0,4.9403178
4/9/2016,6,0,21.54628728,0,3.376188358,7.74097155,14.662455,11.652264
4/12/2016,2,5.5286325,4.57114806,76.24038239,0,2.019415845,0,2.5408881
4/15/2016,5,0,4.226919246,216.1148297,0,7.92524539,16.23323136,0.36769095
4/18/2016,1,3.1300407,28.78837668,37.01351578,0,15.52752147,112.6855656,51.38487
4/21/2016,4,23.196555,3.324994452,33.88502072,0,14.56890543,0,5.523993
4/24/2016,7,14.1846264,8.91701388,0,0,4.900752973,41.6132376,13.10508
4/27/2016,3,32.613264,15.39265392,0,0.228165325,10.61927012,40.10998428,17.152362
4/30/2016,6,31.376664,3.963498192,103.9753779,0,5.07635222,1.703571672,10.961964
5/3/2016,2,0.43029558,9.91180638,1.861006588,3.41775068,10.09438373,42.71611392,11.544471
5/6/2016,5,9.2874843,12.70028628,62.90999476,5.066874498,8.2629174,0,11.234898
5/9/2016,1,21.123189,16.8227064,8.800286557,0.486870316,11.20982857,40.70124372,2.8229553
5/12/2016,4,0.79754517,4.138765326,0,0.080663645,1.779712826,42.26379612,4.5407934
5/15/2016,7,22.914198,23.72687244,20.74296447,0.149315143,15.5064476,74.8769916,5.961006
5/18/2016,3,6.8081013,7.65041346,38.98825258,0,11.13778534,0,6.999642
5/21/2016,6,11.6747406,11.10004776,0,4.644339382,22.81613995,7.47384828,18.400743
5/24/2016,2,3.6766179,3.21149628,4.69457105,0.127051562,3.436217026,33.53774172,4.092948
5/27/2016,5,3.0459519,7.72938468,97.182649,0.038841218,3.03561746,9.87264756,24.237495
5/30/2016,1,22.017663,5.648462424,39.27989195,0.057341453,2.905841628,67.5533388,6.69591
6/2/2016,4,4.0137975,7.1288361,208.2524517,0.005921403,3.375788929,20.116239,10.355031
6/5/2016,7,11.9342205,0,0,0,0.811343995,6.72287088,25.781112
6/8/2016,3,4.0809861,2.970970758,0,0.038385578,3.904596039,41.86082208,4.4127693
6/11/2016,6,21.506535,16.406424,7.823431802,0.013061665,2.645113748,62.826726,3.7243278
6/14/2016,2,2.5873794,6.42850218,0,0.033572716,3.699542383,45.0889428,6.330051
6/17/2016,5,16.1982234,16.47009072,49.79719387,0,15.43048365,89.5675812,8.532108
6/20/2016,1,0,19.56955806,117.7071125,0.348805194,9.85423963,0,26.471412
6/23/2016,4,21.685842,16.65802998,54.20195401,0.140284205,8.78976415,105.4917648,4.3260039
6/26/2016,7,0.186557598,15.7391478,111.4080678,0.2676177,4.486234851,22.47781404,11.463228
6/29/2016,3,8.9676171,12.54111948,24.61290006,0.050263126,5.46548368,47.417622,11.111175
7/2/2016,6,46.621881,6.22525842,64.20545867,0.002429168,1.896256228,0,9.530919
7/5/2016,2,20.5222014,0.910801404,5.975772972,0,5.3664855,21.95883888,0
7/8/2016,5,10.9849239,0,46.90274169,0,19.44824147,0,0
7/11/2016,1,18.6444243,10.44930042,0,0.162329515,6.88380414,107.907012,12.97764
7/14/2016,4,9.0679878,5.297132322,43.92692304,0.121667559,1.640184203,77.5043304,8.69778
7/17/2016,7,13.0737474,1.583893314,0,0,8.66724165,35.61797076,1.5201468
7/20/2016,3,10.2396663,6.100190046,20.96969351,0.112363783,15.69170162,72.6348804,8.843805
7/23/2016,6,11.9074275,9.8530371,0,0.034400325,15.69856288,71.7951708,8.08182
7/26/2016,2,0,11.13494202,26.0921242,0.013329046,19.65407927,151.0957872,20.336238
