 ,Winter,Sprint,Summer,Fall
0,0.24376218017,0.273542442568,0.229475171458,0.108038631322
1,0.480202366683,0.280621208126,0.4054331428,0.36366404282
2,0.101016340049,0.225705774563,0.242689249403,0.318831420866
3,0.354938013943,0.162844188729,0.10325847183,0.215737720364
4,0.169132858679,0.185731576599,0.0894727198199,0.0939489754239
5,0.995308272139,0.201725806787,0.213252412231,0.247230373488
6,0.256021488872,0.192774611636,0.19897806391,0.224617558253
7,0.107208272519,0.132420802711,0.216535713229,0.255878714226
8,0.326772943093,0.501356892324,0.164812484694,0.537990909773
9,0.813760065039,0.414571948531,0.484464092683,0.324759610666
10,0.134193127346,0.211941602769,0.125269373494,0.175073568873
11,0.138992506287,0.452533954663,0.187164445514,0.118245104878
12,0.05959237179,0.0335636340922,0.0511100614416,0.0730361580689
13,0.0604894290029,0.110603886274,0.101338519275,0.0760041091287
14,0.157104363121,0.119043389254,0.143293265698,0.118206855286
15,0.630553119952,0.639787555482,0.08912164688,0.282130068398
