FactorName,Wood,Sea salt,no EC3,Sn,EC3,Shipping
2015-08-01,17.13,6.97,10.44,0.46,0,0
2015-08-04,0,2.87,52.23,1.08,63.59,0.98
2015-08-07,12.99,6.84,17.82,2.92,4.36,2.35
2015-08-10,0,0,49.19,0.86,35.19,7.29
2015-08-13,22.87,8.35,24.33,13.52,49.64,0
2015-08-16,14.52,31.73,44.4,1.04,5.22,2.86
2015-08-19,3.84,11.68,27.18,0,23.21,0.23
2015-08-22,9.23,21.74,26.71,0,39.68,0.91
2015-08-25,10.17,9.47,54.12,7.47,8.13,7.78
2015-08-28,0.36,3.68,22.68,3.36,15.39,6.23
2015-08-31,0.23,2.91,7.02,2.37,74.91,5.68
2015-09-06,4.09,36.05,85.13,3.42,80.28,0
2015-09-09,0,7.13,41.66,3.65,67.37,7.43
2015-09-12,0,0.04,7.55,14.62,53.72,1.03
2015-09-15,0,1.97,24.32,5.4,85.76,2.64
2015-09-18,6.27,45.28,84.02,5.8,90.68,0
2015-09-21,0.43,10.35,34.11,5.65,95.98,10.78
2015-09-24,2.51,10.94,71.78,11.58,0,11.93
2015-09-27,0,15.14,21,2.77,80.48,6.43
2015-09-30,0,2.97,53.36,13.08,105.33,8.94
2015-10-03,0,9.41,23.35,25.92,61.45,0
2015-10-06,0,4.47,52.12,0.75,110.04,8.27
2015-10-09,0,6.99,56.91,0.11,83.07,7.5
2015-10-12,0,19.3,83.37,0.19,99.28,13.32
2015-10-15,0,2.44,28.87,3.21,61.5,1.3
2015-10-18,0,3.14,108.94,0.85,110.11,1.33
2015-10-21,0,10.93,100.6,1.8,90.51,7.29
2015-10-24,9.57,7.98,49.43,1.94,80.15,2.89
2015-10-27,0,4.23,43.89,0.56,113.28,2.44
2015-11-17,32.51,5.53,194.43,1.12,25.35,2.56
2015-11-20,48.02,9.89,184.66,9.05,0,2.77
2015-11-23,56.71,7.64,180.55,0.56,0,0
2015-11-26,113.4,12.47,50.64,0.39,0,0
2015-12-02,56.02,5.79,190.28,24.74,19.51,2.79
2015-12-05,29.87,4.25,309.05,0.05,0.53,0
2015-12-08,5.67,2.91,117.94,0,147.14,6.77
2015-12-11,12.06,1.63,107.25,0.31,2.93,2.73
2015-12-14,44.29,8.22,156.35,1.85,0,1.05
2015-12-17,20.27,3.55,243.35,0.37,8.83,0
2015-12-23,51.51,1.94,139.05,0.02,4.77,0
2015-12-27,30.48,2.33,132.95,4.34,93.63,0.96
2015-12-29,43.91,2.56,209.94,0.02,4,0
2016-01-01,31.49,19.57,141.31,5.78,0,0
2016-01-04,35.33,0,0,206.76,0,0
2016-01-07,16.97,0.84,195.42,2.77,24.73,0
2016-01-10,20.3,4.37,121.66,0,17.07,3.14
2016-01-13,16.34,0.77,105.53,2,88.81,0
2016-01-16,6.48,2.31,89.66,106.33,4.48,0.09
2016-01-19,6.09,0,53.49,3.53,76.78,2.05
2016-01-22,1.14,0,65.51,0,53.65,0.61
2016-01-28,0.79,5.43,214.12,0.82,3.6,0.41
2016-01-31,0,0,87.49,0.2,6.71,11.92
2016-02-03,17.29,0,84.89,4.26,82.51,0
2016-02-06,31.44,13.32,106.73,13.24,73,0.81
2016-02-09,0,19.26,102.73,34.75,162.82,0
2016-02-12,41.57,9.3,142.66,0,0,5.96
2016-02-15,12.49,13.6,30.12,10.11,68.16,2.82
2016-02-18,22.95,4.8,103.02,0.33,5.31,1.24
2016-02-21,16.51,5.64,93.93,8.88,74.08,0
2016-02-24,31.57,9.15,65.6,7.72,70.67,3.5
2016-02-27,12.77,3.33,58.96,0.82,50.83,1.21
2016-03-01,17.4,9.75,57.85,0,76.19,4.71
2016-03-10,14.92,3.26,16.92,0,40.45,1.93
2016-03-13,1.83,3.32,19.33,0,65.24,0.33
2016-03-16,0,7.86,24.22,0,79.74,1.12
2016-03-19,11.81,3.36,8,0,68.04,1.96
2016-03-22,20.37,5.56,26.52,0,70.18,3.12
2016-03-25,0.55,5.24,78.71,0,0.76,1.57
2016-04-03,26.86,15.65,15.06,1.66,61.4,5.39
2016-04-09,11.13,0,7.17,0,53.55,17.05
2016-04-12,14.65,12.31,50.29,0,0,4.77
2016-04-24,8.52,13.01,48.41,0,0,6.12
2016-04-30,20.81,19.51,20.39,0,20.35,3.2
2016-05-03,16.85,11.65,0,0.5,47.16,11.96
2016-05-06,9.59,0,36.53,0.08,34.33,17.65
2016-05-09,22.62,19.04,0.96,0.38,43.53,0.68
2016-05-15,0.21,4.53,47.6,0.53,63.49,4.9
2016-05-18,12.78,12.21,10.81,1.34,15.52,15.85
2016-05-21,19.95,12.5,0,1.12,18.37,11.78
2016-05-24,4.63,0.57,17.52,3.22,54.09,1.44
2016-05-27,7.4,7.96,59.87,0.47,0,10.54
2016-05-30,2.01,2.99,53.21,0.51,43.35,1.29
2016-06-02,35.4,23.93,26.07,2.39,54.16,9.86
2016-06-05,37.93,40.75,0,0,0,1.47
2016-06-08,7.18,3.03,24.58,1.38,41.45,2.38
2016-06-11,17.55,9.41,12.44,1.18,21.57,1.59
2016-06-14,14.82,3.49,18.65,0,19.9,5.04
2016-06-17,30.26,15.72,60.15,0.05,0,5.37
2016-06-20,7.77,8.12,13.67,4.02,58.44,9.62
2016-06-23,8.74,11.36,55.88,0,0,3.91
2016-06-26,1.96,9.41,69.15,0.76,0,4.89
2016-06-29,11.94,7.07,28.43,0.73,49.32,5.64
